"","count","X","name","unicode","bytes","emojiid","rencoding","dens","dens_sm"
"173",93,396,"musical note","U+1F3B5","\xF0\x9F\x8E\xB5",396,"<ed><a0><bc><ed><be><b5>",0.1,5.17485504900698e-05
"174",91,465,"horse face","U+1F434","\xF0\x9F\x90\xB4",465,"<ed><a0><bd><ed><b0><b4>",0.1,5.06475175009194e-05
"175",89,532,"baby angel","U+1F47C","\xF0\x9F\x91\xBC",532,"<ed><a0><bd><ed><b1><bc>",0,4.95464845117689e-05
"176",88,468,"pig face","U+1F437","\xF0\x9F\x90\xB7",468,"<ed><a0><bd><ed><b0><b7>",0,4.89959680171937e-05
"177",87,357,"birthday cake","U+1F382","\xF0\x9F\x8E\x82",357,"<ed><a0><bc><ed><be><82>",0,4.84454515226185e-05
"178",87,528,"princess","U+1F478","\xF0\x9F\x91\xB8",528,"<ed><a0><bd><ed><b1><b8>",0,4.84454515226185e-05
"179",86,491,"open hands sign","U+1F450","\xF0\x9F\x91\x90",491,"<ed><a0><bd><ed><b1><90>",0,4.78949350280433e-05
"180",85,403,"musical score","U+1F3BC","\xF0\x9F\x8E\xBC",403,"<ed><a0><bc><ed><be><bc>",0,4.73444185334681e-05
"181",85,531,"ghost","U+1F47B","\xF0\x9F\x91\xBB",531,"<ed><a0><bd><ed><b1><bb>",0,4.73444185334681e-05
"182",83,650,"television","U+1F4FA","\xF0\x9F\x93\xBA",650,"<ed><a0><bd><ed><b3><ba>",0,4.62433855443177e-05
"183",82,515,"woman","U+1F469","\xF0\x9F\x91\xA9",515,"<ed><a0><bd><ed><b1><a9>",0,4.56928690497425e-05
"184",81,250,"upwards black arrow","U+2B06","\xE2\xAC\x86",250,"<e2><ac><86>",0,4.51423525551673e-05
"185",81,297,"four leaf clover","U+1F340","\xF0\x9F\x8D\x80",297,"<ed><a0><bc><ed><bd><80>",0,4.51423525551673e-05
"186",81,693,"large red circle","U+1F534","\xF0\x9F\x94\xB4",693,"<ed><a0><bd><ed><b4><b4>",0,4.51423525551673e-05
"187",81,801,"dragon","U+1F409","\xF0\x9F\x90\x89",801,"<ed><a0><bd><ed><b0><89>",0,4.51423525551673e-05
"188",80,87,"rocket","U+1F680","\xF0\x9F\x9A\x80",87,"<ed><a0><bd><ed><ba><80>",0,4.4591836060592e-05
"189",80,519,"woman with bunny ears","U+1F46F","\xF0\x9F\x91\xAF",519,"<ed><a0><bd><ed><b1><af>",0,4.4591836060592e-05
"190",79,134,"squared sos","U+1F198","\xF0\x9F\x86\x98",134,"<ed><a0><bc><ed><b6><98>",0,4.40413195660168e-05
"191",79,477,"ear","U+1F442","\xF0\x9F\x91\x82",477,"<ed><a0><bd><ed><b1><82>",0,4.40413195660168e-05
"192",78,365,"confetti ball","U+1F38A","\xF0\x9F\x8E\x8A",365,"<ed><a0><bc><ed><be><8a>",0,4.34908030714416e-05
"193",78,533,"extraterrestrial alien","U+1F47D","\xF0\x9F\x91\xBD",533,"<ed><a0><bd><ed><b1><bd>",0,4.34908030714416e-05
"194",77,73,"snowflake","U+2744","\xE2\x9D\x84",73,"<e2><9d><84>",0,4.29402865768664e-05
"195",77,228,"black universal recycling symbol","U+267B","\xE2\x99\xBB",228,"<e2><99><bb>",0,4.29402865768664e-05
"196",74,514,"man","U+1F468","\xF0\x9F\x91\xA8",514,"<ed><a0><bd><ed><b1><a8>",0,4.12887370931408e-05
"197",73,303,"aubergine","U+1F346","\xF0\x9F\x8D\x86",303,"<ed><a0><bc><ed><bd><86>",0,4.07382205985656e-05
"198",73,792,"rat","U+1F400","\xF0\x9F\x90\x80",792,"<ed><a0><bd><ed><b0><80>",0,4.07382205985656e-05
"199",72,50,"person bowing deeply","U+1F647","\xF0\x9F\x99\x87",50,"<ed><a0><bd><ed><b9><87>",0,4.01877041039904e-05
"200",72,408,"chequered flag","U+1F3C1","\xF0\x9F\x8F\x81",408,"<ed><a0><bc><ed><bf><81>",0,4.01877041039904e-05
"201",72,449,"hatching chick","U+1F423","\xF0\x9F\x90\xA3",449,"<ed><a0><bd><ed><b0><a3>",0,4.01877041039904e-05
"202",72,479,"mouth","U+1F444","\xF0\x9F\x91\x84",479,"<ed><a0><bd><ed><b1><84>",0,4.01877041039904e-05
"203",72,711,"clock face nine oclock","U+1F558","\xF0\x9F\x95\x98",711,"<ed><a0><bd><ed><b5><98>",0,4.01877041039904e-05
"204",72,806,"rooster","U+1F413","\xF0\x9F\x90\x93",806,"<ed><a0><bd><ed><b0><93>",0,4.01877041039904e-05
"205",69,312,"peach","U+1F351","\xF0\x9F\x8D\x91",312,"<ed><a0><bc><ed><bd><91>",0,3.85361546202647e-05
"206",68,289,"cherry blossom","U+1F338","\xF0\x9F\x8C\xB8",289,"<ed><a0><bc><ed><bc><b8>",0,3.79856381256895e-05
"207",68,461,"rabbit face","U+1F430","\xF0\x9F\x90\xB0",461,"<ed><a0><bd><ed><b0><b0>",0,3.79856381256895e-05
"208",68,481,"white up pointing backhand index","U+1F446","\xF0\x9F\x91\x86",481,"<ed><a0><bd><ed><b1><86>",0,3.79856381256895e-05
"209",68,685,"hocho","U+1F52A","\xF0\x9F\x94\xAA",685,"<ed><a0><bd><ed><b4><aa>",0,3.79856381256895e-05
"210",67,304,"grapes","U+1F347","\xF0\x9F\x8D\x87",304,"<ed><a0><bc><ed><bd><87>",0,3.74351216311143e-05
"211",67,550,"gem stone","U+1F48E","\xF0\x9F\x92\x8E",550,"<ed><a0><bd><ed><b2><8e>",0,3.74351216311143e-05
"212",66,248,"arrow pointing rightwards then curving downwards","U+2935","\xE2\xA4\xB5",248,"<e2><a4><b5>",0,3.68846051365391e-05
"213",65,307,"tangerine","U+1F34A","\xF0\x9F\x8D\x8A",307,"<ed><a0><bc><ed><bd><8a>",0,3.63340886419639e-05
"214",63,475,"paw prints","U+1F43E","\xF0\x9F\x90\xBE",475,"<ed><a0><bd><ed><b0><be>",0,3.52330556528135e-05
"215",63,569,"electric light bulb","U+1F4A1","\xF0\x9F\x92\xA1",569,"<ed><a0><bd><ed><b2><a1>",0,3.52330556528135e-05
"216",62,413,"american football","U+1F3C8","\xF0\x9F\x8F\x88",413,"<ed><a0><bc><ed><bf><88>",0,3.46825391582383e-05
"217",62,512,"boy","U+1F466","\xF0\x9F\x91\xA6",512,"<ed><a0><bd><ed><b1><a6>",0,3.46825391582383e-05
"218",61,700,"down-pointing red triangle","U+1F53B","\xF0\x9F\x94\xBB",700,"<ed><a0><bd><ed><b4><bb>",0,3.41320226636631e-05
"219",61,744,"trolleybus","U+1F68E","\xF0\x9F\x9A\x8E",744,"<ed><a0><bd><ed><ba><8e>",0,3.41320226636631e-05
"220",60,565,"heart with ribbon","U+1F49D","\xF0\x9F\x92\x9D",565,"<ed><a0><bd><ed><b2><9d>",0,3.35815061690878e-05
"221",60,694,"large blue circle","U+1F535","\xF0\x9F\x94\xB5",694,"<ed><a0><bd><ed><b4><b5>",0,3.35815061690878e-05
"222",57,274,"milky way","U+1F30C","\xF0\x9F\x8C\x8C",274,"<ed><a0><bc><ed><bc><8c>",0,3.19299566853622e-05
"223",57,351,"cocktail glass","U+1F378","\xF0\x9F\x8D\xB8",351,"<ed><a0><bc><ed><bd><b8>",0,3.19299566853622e-05
"224",57,433,"horse","U+1F40E","\xF0\x9F\x90\x8E",433,"<ed><a0><bd><ed><b0><8e>",0,3.19299566853622e-05
"225",57,631,"public address loudspeaker","U+1F4E2","\xF0\x9F\x93\xA2",631,"<ed><a0><bd><ed><b3><a2>",0,3.19299566853622e-05
"226",54,262,"cyclone","U+1F300","\xF0\x9F\x8C\x80",262,"<ed><a0><bc><ed><bc><80>",0,3.02784072016366e-05
"227",54,746,"oncoming police car","U+1F694","\xF0\x9F\x9A\x94",746,"<ed><a0><bd><ed><ba><94>",0,3.02784072016366e-05
"228",53,204,"cloud","U+2601","\xE2\x98\x81",204,"<e2><98><81>",0,2.97278907070614e-05
"229",53,272,"water wave","U+1F30A","\xF0\x9F\x8C\x8A",272,"<ed><a0><bc><ed><bc><8a>",0,2.97278907070614e-05
"230",53,382,"headphone","U+1F3A7","\xF0\x9F\x8E\xA7",382,"<ed><a0><bc><ed><be><a7>",0,2.97278907070614e-05
"231",53,794,"ox","U+1F402","\xF0\x9F\x90\x82",794,"<ed><a0><bd><ed><b0><82>",0,2.97278907070614e-05
"232",52,626,"memo","U+1F4DD","\xF0\x9F\x93\x9D",626,"<ed><a0><bd><ed><b3><9d>",0,2.91773742124862e-05
"233",50,316,"slice of pizza","U+1F355","\xF0\x9F\x8D\x95",316,"<ed><a0><bc><ed><bd><95>",0,2.80763412233357e-05
"234",50,546,"pill","U+1F48A","\xF0\x9F\x92\x8A",546,"<ed><a0><bd><ed><b2><8a>",0,2.80763412233357e-05
"235",49,18,"kissing face with closed eyes","U+1F61A","\xF0\x9F\x98\x9A",18,"<ed><a0><bd><ed><b8><9a>",0,2.75258247287605e-05
"236",48,298,"maple leaf","U+1F341","\xF0\x9F\x8D\x81",298,"<ed><a0><bc><ed><bd><81>",0,2.69753082341853e-05
"237",47,296,"herb","U+1F33F","\xF0\x9F\x8C\xBF",296,"<ed><a0><bc><ed><bc><bf>",0,2.64247917396101e-05
"238",47,361,"fireworks","U+1F386","\xF0\x9F\x8E\x86",361,"<ed><a0><bc><ed><be><86>",0,2.64247917396101e-05
"239",47,494,"eyeglasses","U+1F453","\xF0\x9F\x91\x93",494,"<ed><a0><bd><ed><b1><93>",0,2.64247917396101e-05
"240",46,353,"beer mug","U+1F37A","\xF0\x9F\x8D\xBA",353,"<ed><a0><bc><ed><bd><ba>",0,2.58742752450349e-05
"241",45,43,"cat face with wry smile","U+1F63C","\xF0\x9F\x98\xBC",43,"<ed><a0><bd><ed><b8><bc>",0,2.53237587504597e-05
"242",45,292,"sunflower","U+1F33B","\xF0\x9F\x8C\xBB",292,"<ed><a0><bc><ed><bc><bb>",0,2.53237587504597e-05
"243",45,380,"movie camera","U+1F3A5","\xF0\x9F\x8E\xA5",380,"<ed><a0><bc><ed><be><a5>",0,2.53237587504597e-05
"244",45,451,"front-facing baby chick","U+1F425","\xF0\x9F\x90\xA5",451,"<ed><a0><bd><ed><b0><a5>",0,2.53237587504597e-05
"245",45,654,"speaker with three sound waves","U+1F50A","\xF0\x9F\x94\x8A",654,"<ed><a0><bd><ed><b4><8a>",0,2.53237587504597e-05
"246",45,773,"earth globe europe-africa","U+1F30D","\xF0\x9F\x8C\x8D",773,"<ed><a0><bc><ed><bc><8d>",0,2.53237587504597e-05
"247",45,784,"evergreen tree","U+1F332","\xF0\x9F\x8C\xB2",784,"<ed><a0><bc><ed><bc><b2>",0,2.53237587504597e-05
"248",44,162,"copyright sign","U+00A9","\xC2\xA9",162,"<c2><a9>",0,2.47732422558845e-05
"249",43,261,"playing card black joker","U+1F0CF","\xF0\x9F\x83\x8F",261,"<ed><a0><bc><ed><b3><8f>",0,2.42227257613093e-05
"250",43,374,"graduation cap","U+1F393","\xF0\x9F\x8E\x93",374,"<ed><a0><bc><ed><be><93>",0,2.42227257613093e-05
"251",42,513,"girl","U+1F467","\xF0\x9F\x91\xA7",513,"<ed><a0><bd><ed><b1><a7>",0,2.36722092667341e-05
"252",41,523,"man with turban","U+1F473","\xF0\x9F\x91\xB3",523,"<ed><a0><bd><ed><b1><b3>",0,2.31216927721588e-05
"253",41,605,"chart with upwards trend","U+1F4C8","\xF0\x9F\x93\x88",605,"<ed><a0><bd><ed><b3><88>",0,2.31216927721588e-05
"254",41,632,"cheering megaphone","U+1F4E3","\xF0\x9F\x93\xA3",632,"<ed><a0><bd><ed><b3><a3>",0,2.31216927721588e-05
"255",41,688,"six pointed star with middle dot","U+1F52F","\xF0\x9F\x94\xAF",688,"<ed><a0><bd><ed><b4><af>",0,2.31216927721588e-05
"256",40,294,"ear of maize","U+1F33D","\xF0\x9F\x8C\xBD",294,"<ed><a0><bc><ed><bc><bd>",0,2.25711762775836e-05
"257",40,308,"banana","U+1F34C","\xF0\x9F\x8D\x8C",308,"<ed><a0><bc><ed><bd><8c>",0,2.25711762775836e-05
"258",40,436,"chicken","U+1F414","\xF0\x9F\x90\x94",436,"<ed><a0><bd><ed><b0><94>",0,2.25711762775836e-05
"259",39,46,"crying cat face","U+1F63F","\xF0\x9F\x98\xBF",46,"<ed><a0><bd><ed><b8><bf>",0,2.20206597830084e-05
"260",39,275,"earth globe asia-australia","U+1F30F","\xF0\x9F\x8C\x8F",275,"<ed><a0><bc><ed><bc><8f>",0,2.20206597830084e-05
"261",39,291,"hibiscus","U+1F33A","\xF0\x9F\x8C\xBA",291,"<ed><a0><bc><ed><bc><ba>",0,2.20206597830084e-05
"262",38,45,"pouting cat face","U+1F63E","\xF0\x9F\x98\xBE",45,"<ed><a0><bd><ed><b8><be>",0,2.14701432884332e-05
"263",38,193,"alarm clock","U+23F0","\xE2\x8F\xB0",193,"<e2><8f><b0>",0,2.14701432884332e-05
"264",38,310,"red apple","U+1F34E","\xF0\x9F\x8D\x8E",310,"<ed><a0><bc><ed><bd><8e>",0,2.14701432884332e-05
"265",38,641,"postbox","U+1F4EE","\xF0\x9F\x93\xAE",641,"<ed><a0><bd><ed><b3><ae>",0,2.14701432884332e-05
"266",38,671,"soon with rightwards arrow above","U+1F51C","\xF0\x9F\x94\x9C",671,"<ed><a0><bd><ed><b4><9c>",0,2.14701432884332e-05
"267",37,233,"medium white circle","U+26AA","\xE2\x9A\xAA",233,"<e2><9a><aa>",0,2.0919626793858e-05
"268",37,462,"cat face","U+1F431","\xF0\x9F\x90\xB1",462,"<ed><a0><bd><ed><b0><b1>",0,2.0919626793858e-05
"269",36,118,"toilet","U+1F6BD","\xF0\x9F\x9A\xBD",118,"<ed><a0><bd><ed><ba><bd>",0,2.03691102992828e-05
"270",36,538,"guardsman","U+1F482","\xF0\x9F\x92\x82",538,"<ed><a0><bd><ed><b2><82>",0,2.03691102992828e-05
"271",36,542,"face massage","U+1F486","\xF0\x9F\x92\x86",542,"<ed><a0><bd><ed><b2><86>",0,2.03691102992828e-05
"272",35,808,"pig","U+1F416","\xF0\x9F\x90\x96",808,"<ed><a0><bd><ed><b0><96>",0,1.98185938047076e-05
"273",34,195,"black small square","U+25AA","\xE2\x96\xAA",195,"<e2><96><aa>",0,1.92680773101324e-05
"274",34,811,"two men holding hands","U+1F46C","\xF0\x9F\x91\xAC",811,"<ed><a0><bd><ed><b1><ac>",0,1.92680773101324e-05
"275",33,79,"white exclamation mark ornament","U+2755","\xE2\x9D\x95",79,"<e2><9d><95>",0,1.87175608155572e-05
"276",33,110,"smoking symbol","U+1F6AC","\xF0\x9F\x9A\xAC",110,"<ed><a0><bd><ed><ba><ac>",0,1.87175608155572e-05
"277",33,123,"negative squared latin capital letter b","U+1F171","\xF0\x9F\x85\xB1",123,"<ed><a0><bc><ed><b5><b1>",0,1.87175608155572e-05
"278",33,526,"baby","U+1F476","\xF0\x9F\x91\xB6",526,"<ed><a0><bd><ed><b1><b6>",0,1.87175608155572e-05
"279",33,545,"syringe","U+1F489","\xF0\x9F\x92\x89",545,"<ed><a0><bd><ed><b2><89>",0,1.87175608155572e-05
"280",33,740,"train","U+1F686","\xF0\x9F\x9A\x86",740,"<ed><a0><bd><ed><ba><86>",0,1.87175608155572e-05
"281",33,812,"two women holding hands","U+1F46D","\xF0\x9F\x91\xAD",812,"<ed><a0><bd><ed><b1><ad>",0,1.87175608155572e-05
"282",32,466,"monkey face","U+1F435","\xF0\x9F\x90\xB5",466,"<ed><a0><bd><ed><b0><b5>",0,1.81670443209819e-05
"283",31,235,"soccer ball","U+26BD","\xE2\x9A\xBD",235,"<e2><9a><bd>",0,1.76165278264067e-05
"284",31,453,"penguin","U+1F427","\xF0\x9F\x90\xA7",453,"<ed><a0><bd><ed><b0><a7>",0,1.76165278264067e-05
"285",30,385,"circus tent","U+1F3AA","\xF0\x9F\x8E\xAA",385,"<ed><a0><bc><ed><be><aa>",0,1.70660113318315e-05
"286",30,398,"saxophone","U+1F3B7","\xF0\x9F\x8E\xB7",398,"<ed><a0><bc><ed><be><b7>",0,1.70660113318315e-05
"287",30,450,"baby chick","U+1F424","\xF0\x9F\x90\xA4",450,"<ed><a0><bd><ed><b0><a4>",0,1.70660113318315e-05
"288",30,552,"bouquet","U+1F490","\xF0\x9F\x92\x90",552,"<ed><a0><bd><ed><b2><90>",0,1.70660113318315e-05
"289",30,642,"newspaper","U+1F4F0","\xF0\x9F\x93\xB0",642,"<ed><a0><bd><ed><b3><b0>",0,1.70660113318315e-05
"290",30,683,"hammer","U+1F528","\xF0\x9F\x94\xA8",683,"<ed><a0><bd><ed><b4><a8>",0,1.70660113318315e-05
"291",30,742,"tram","U+1F68A","\xF0\x9F\x9A\x8A",742,"<ed><a0><bd><ed><ba><8a>",0,1.70660113318315e-05
"292",29,517,"man and woman holding hands","U+1F46B","\xF0\x9F\x91\xAB",517,"<ed><a0><bd><ed><b1><ab>",0,1.65154948372563e-05
"293",29,802,"crocodile","U+1F40A","\xF0\x9F\x90\x8A",802,"<ed><a0><bd><ed><b0><8a>",0,1.65154948372563e-05
"294",28,107,"triangular flag on post","U+1F6A9","\xF0\x9F\x9A\xA9",107,"<ed><a0><bd><ed><ba><a9>",0,1.59649783426811e-05
"295",28,133,"squared ok","U+1F197","\xF0\x9F\x86\x97",133,"<ed><a0><bc><ed><b6><97>",0,1.59649783426811e-05
"296",28,343,"shortcake","U+1F370","\xF0\x9F\x8D\xB0",343,"<ed><a0><bc><ed><bd><b0>",0,1.59649783426811e-05
"297",28,549,"ring","U+1F48D","\xF0\x9F\x92\x8D",549,"<ed><a0><bd><ed><b2><8d>",0,1.59649783426811e-05
"298",28,610,"round pushpin","U+1F4CD","\xF0\x9F\x93\x8D",610,"<ed><a0><bd><ed><b3><8d>",0,1.59649783426811e-05
"299",28,627,"telephone receiver","U+1F4DE","\xF0\x9F\x93\x9E",627,"<ed><a0><bd><ed><b3><9e>",0,1.59649783426811e-05
"300",28,760,"potable water symbol","U+1F6B0","\xF0\x9F\x9A\xB0",760,"<ed><a0><bd><ed><ba><b0>",0,1.59649783426811e-05
"301",28,809,"dromedary camel","U+1F42A","\xF0\x9F\x90\xAA",809,"<ed><a0><bd><ed><b0><aa>",0,1.59649783426811e-05
"302",27,358,"jack-o-lantern","U+1F383","\xF0\x9F\x8E\x83",358,"<ed><a0><bc><ed><be><83>",0,1.54144618481059e-05
"303",27,388,"performing arts","U+1F3AD","\xF0\x9F\x8E\xAD",388,"<ed><a0><bc><ed><be><ad>",0,1.54144618481059e-05
"304",27,399,"guitar","U+1F3B8","\xF0\x9F\x8E\xB8",399,"<ed><a0><bc><ed><be><b8>",0,1.54144618481059e-05
"305",27,648,"camera","U+1F4F7","\xF0\x9F\x93\xB7",648,"<ed><a0><bd><ed><b3><b7>",0,1.54144618481059e-05
"306",26,236,"baseball","U+26BE","\xE2\x9A\xBE",236,"<e2><9a><be>",0,1.48639453535307e-05
"307",26,300,"leaf fluttering in wind","U+1F343","\xF0\x9F\x8D\x83",300,"<ed><a0><bc><ed><bd><83>",0,1.48639453535307e-05
"308",26,356,"wrapped present","U+1F381","\xF0\x9F\x8E\x81",356,"<ed><a0><bc><ed><be><81>",0,1.48639453535307e-05
"309",26,384,"top hat","U+1F3A9","\xF0\x9F\x8E\xA9",384,"<ed><a0><bc><ed><be><a9>",0,1.48639453535307e-05
"310",26,435,"monkey","U+1F412","\xF0\x9F\x90\x92",435,"<ed><a0><bd><ed><b0><92>",0,1.48639453535307e-05
"311",26,507,"high-heeled shoe","U+1F460","\xF0\x9F\x91\xA0",507,"<ed><a0><bd><ed><b1><a0>",0,1.48639453535307e-05
"312",26,521,"person with blond hair","U+1F471","\xF0\x9F\x91\xB1",521,"<ed><a0><bd><ed><b1><b1>",0,1.48639453535307e-05
"313",25,101,"delivery truck","U+1F69A","\xF0\x9F\x9A\x9A",101,"<ed><a0><bd><ed><ba><9a>",0,1.43134288589555e-05
"314",25,128,"squared cool","U+1F192","\xF0\x9F\x86\x92",128,"<ed><a0><bc><ed><b6><92>",0,1.43134288589555e-05
"315",25,163,"registered sign","U+00AE","\xC2\xAE",163,"<c2><ae>",0,1.43134288589555e-05
"316",25,227,"hot springs","U+2668","\xE2\x99\xA8",227,"<e2><99><a8>",0,1.43134288589555e-05
"317",25,478,"nose","U+1F443","\xF0\x9F\x91\x83",478,"<ed><a0><bd><ed><b1><83>",0,1.43134288589555e-05
"318",25,575,"droplet","U+1F4A7","\xF0\x9F\x92\xA7",575,"<ed><a0><bd><ed><b2><a7>",0,1.43134288589555e-05
"319",25,669,"end with leftwards arrow above","U+1F51A","\xF0\x9F\x94\x9A",669,"<ed><a0><bd><ed><b4><9a>",0,1.43134288589555e-05
"320",25,782,"full moon with face","U+1F31D","\xF0\x9F\x8C\x9D",782,"<ed><a0><bc><ed><bc><9d>",0,1.43134288589555e-05
"321",24,59,"black scissors","U+2702","\xE2\x9C\x82",59,"<e2><9c><82>",0,1.37629123643803e-05
"322",24,567,"heart decoration","U+1F49F","\xF0\x9F\x92\x9F",567,"<ed><a0><bd><ed><b2><9f>",0,1.37629123643803e-05
"323",24,786,"lemon","U+1F34B","\xF0\x9F\x8D\x8B",786,"<ed><a0><bc><ed><bd><8b>",0,1.37629123643803e-05
"324",23,99,"automobile","U+1F697","\xF0\x9F\x9A\x97",99,"<ed><a0><bd><ed><ba><97>",0,1.32123958698051e-05
"325",23,113,"pedestrian","U+1F6B6","\xF0\x9F\x9A\xB6",113,"<ed><a0><bd><ed><ba><b6>",0,1.32123958698051e-05
"326",23,135,"squared up with exclamation mark","U+1F199","\xF0\x9F\x86\x99",135,"<ed><a0><bc><ed><b6><99>",0,1.32123958698051e-05
"327",23,205,"black telephone","U+260E","\xE2\x98\x8E",205,"<e2><98><8e>",0,1.32123958698051e-05
"328",23,243,"flag in hole","U+26F3","\xE2\x9B\xB3",243,"<e2><9b><b3>",0,1.32123958698051e-05
"329",23,249,"leftwards black arrow","U+2B05","\xE2\xAC\x85",249,"<e2><ac><85>",0,1.32123958698051e-05
"330",23,283,"shooting star","U+1F320","\xF0\x9F\x8C\xA0",283,"<ed><a0><bc><ed><bc><a0>",0,1.32123958698051e-05
"331",23,444,"lady beetle","U+1F41E","\xF0\x9F\x90\x9E",444,"<ed><a0><bd><ed><b0><9e>",0,1.32123958698051e-05
"332",23,727,"kissing face","U+1F617","\xF0\x9F\x98\x97",727,"<ed><a0><bd><ed><b8><97>",0,1.32123958698051e-05
"333",23,741,"light rail","U+1F688","\xF0\x9F\x9A\x88",741,"<ed><a0><bd><ed><ba><88>",0,1.32123958698051e-05
"334",22,41,"smiling cat face with open mouth","U+1F63A","\xF0\x9F\x98\xBA",41,"<ed><a0><bd><ed><b8><ba>",0,1.26618793752298e-05
"335",22,89,"high-speed train","U+1F684","\xF0\x9F\x9A\x84",89,"<ed><a0><bd><ed><ba><84>",0,1.26618793752298e-05
"336",22,92,"station","U+1F689","\xF0\x9F\x9A\x89",92,"<ed><a0><bd><ed><ba><89>",0,1.26618793752298e-05
"337",22,194,"hourglass with flowing sand","U+23F3","\xE2\x8F\xB3",194,"<e2><8f><b3>",0,1.26618793752298e-05
"338",22,352,"tropical drink","U+1F379","\xF0\x9F\x8D\xB9",352,"<ed><a0><bc><ed><bd><b9>",0,1.26618793752298e-05
"339",22,362,"firework sparkler","U+1F387","\xF0\x9F\x8E\x87",362,"<ed><a0><bc><ed><be><87>",0,1.26618793752298e-05
"340",22,643,"mobile phone","U+1F4F1","\xF0\x9F\x93\xB1",643,"<ed><a0><bd><ed><b3><b1>",0,1.26618793752298e-05
"341",22,687,"crystal ball","U+1F52E","\xF0\x9F\x94\xAE",687,"<ed><a0><bd><ed><b4><ae>",0,1.26618793752298e-05
"342",22,728,"kissing face with smiling eyes","U+1F619","\xF0\x9F\x98\x99",728,"<ed><a0><bd><ed><b8><99>",0,1.26618793752298e-05
"343",21,199,"white medium square","U+25FB","\xE2\x97\xBB",199,"<e2><97><bb>",0,1.21113628806546e-05
"344",21,302,"tomato","U+1F345","\xF0\x9F\x8D\x85",302,"<ed><a0><bc><ed><bd><85>",0,1.21113628806546e-05
"345",21,442,"ant","U+1F41C","\xF0\x9F\x90\x9C",442,"<ed><a0><bd><ed><b0><9c>",0,1.21113628806546e-05
"346",21,445,"fish","U+1F41F","\xF0\x9F\x90\x9F",445,"<ed><a0><bd><ed><b0><9f>",0,1.21113628806546e-05
"347",20,78,"white question mark ornament","U+2754","\xE2\x9D\x94",78,"<e2><9d><94>",0,1.15608463860794e-05
"348",20,105,"construction sign","U+1F6A7","\xF0\x9F\x9A\xA7",105,"<ed><a0><bd><ed><ba><a7>",0,1.15608463860794e-05
"349",20,115,"womens symbol","U+1F6BA","\xF0\x9F\x9A\xBA",115,"<ed><a0><bd><ed><ba><ba>",0,1.15608463860794e-05
"350",20,293,"blossom","U+1F33C","\xF0\x9F\x8C\xBC",293,"<ed><a0><bc><ed><bc><bc>",0,1.15608463860794e-05
"351",20,505,"mans shoe","U+1F45E","\xF0\x9F\x91\x9E",505,"<ed><a0><bd><ed><b1><9e>",0,1.15608463860794e-05
"352",20,525,"older woman","U+1F475","\xF0\x9F\x91\xB5",525,"<ed><a0><bd><ed><b1><b5>",0,1.15608463860794e-05
"353",20,543,"haircut","U+1F487","\xF0\x9F\x92\x87",543,"<ed><a0><bd><ed><b2><87>",0,1.15608463860794e-05
